ccode,year,gender,age_group,edu_ilo,neet_fc
AGO,2015,Female,15-24,Lower Secondary,0.26543
AGO,2016,Female,15-24,Lower Secondary,0.27917
AGO,2017,Female,15-24,Lower Secondary,0.28672
AGO,2018,Female,15-24,Lower Secondary,0.254465
AGO,2019,Female,15-24,Lower Secondary,0.35895
AGO,2020,Female,15-24,Lower Secondary,0.29338
AGO,2021,Female,15-24,Lower Secondary,0.39968
AGO,2022,Female,15-24,Lower Secondary,0.22858
AGO,2023,Female,15-24,Lower Secondary,0.25611
AGO,2024,Female,15-24,Lower Secondary,0.193255
AGO,2025,Female,15-24,Lower Secondary,0.193255
AGO,2015,Female,15-24,No Education,0.7103700000000001
AGO,2016,Female,15-24,No Education,0.494815
AGO,2017,Female,15-24,No Education,0.55119
AGO,2018,Female,15-24,No Education,0.54588
AGO,2019,Female,15-24,No Education,0.2586199999999999
AGO,2020,Female,15-24,No Education,0.4705749999999999
AGO,2021,Female,15-24,No Education,0.29864
AGO,2022,Female,15-24,No Education,0.43498
AGO,2023,Female,15-24,No Education,0.6724
AGO,2024,Female,15-24,No Education,0.6171
AGO,2025,Female,15-24,No Education,0.6171
AGO,2015,Female,15-24,Primary,0.26543
AGO,2016,Female,15-24,Primary,0.27917
AGO,2017,Female,15-24,Primary,0.28672
AGO,2018,Female,15-24,Primary,0.254465
AGO,2019,Female,15-24,Primary,0.35895
AGO,2020,Female,15-24,Primary,0.29338
AGO,2021,Female,15-24,Primary,0.39968
AGO,2022,Female,15-24,Primary,0.22858
AGO,2023,Female,15-24,Primary,0.25611
AGO,2024,Female,15-24,Primary,0.193255
AGO,2025,Female,15-24,Primary,0.193255
AGO,2015,Female,15-24,Tertiary,0.32136
AGO,2016,Female,15-24,Tertiary,0.3229399999999999
AGO,2017,Female,15-24,Tertiary,0.34425
AGO,2018,Female,15-24,Tertiary,0.288985
AGO,2019,Female,15-24,Tertiary,0.51474
AGO,2020,Female,15-24,Tertiary,0.229325
AGO,2021,Female,15-24,Tertiary,0.8664400000000001
AGO,2022,Female,15-24,Tertiary,0.2135399999999999
AGO,2023,Female,15-24,Tertiary,0.2953099999999999
AGO,2024,Female,15-24,Tertiary,0.21988
AGO,2025,Female,15-24,Tertiary,0.21988
AGO,2015,Female,15-24,Upper Secondary,0.37215
AGO,2016,Female,15-24,Upper Secondary,0.362015
AGO,2017,Female,15-24,Upper Secondary,0.25305
AGO,2018,Female,15-24,Upper Secondary,0.270795
AGO,2019,Female,15-24,Upper Secondary,0.55789
