ccode,year,edu_ilo,age_group,gender,share_unemp,share_inact
AGO,2015,Less than primary,15-24,female,0.056506,0.613708
AGO,2016,Less than primary,15-24,female,0.054342,0.532776
AGO,2017,Less than primary,15-24,female,0.052178,0.451844
AGO,2018,Less than primary,15-24,female,0.050014,0.370912
AGO,2019,Less than primary,15-24,female,0.04785,0.28998
AGO,2020,Less than primary,15-24,female,0.04213,0.281315
AGO,2021,Less than primary,15-24,female,0.03641,0.27265
AGO,2022,Less than primary,15-24,female,0.03641,0.27265
AGO,2023,Less than primary,15-24,female,0.03641,0.27265
AGO,2024,Less than primary,15-24,female,0.03641,0.27265
AGO,2025,Less than primary,15-24,female,0.03641,0.27265
AGO,2015,Less than primary,15-24,male,0.08921,0.62146
AGO,2016,Less than primary,15-24,male,0.09644,0.55404
AGO,2017,Less than primary,15-24,male,0.10367,0.48662
AGO,2018,Less than primary,15-24,male,0.1109,0.4191999999999999
AGO,2019,Less than primary,15-24,male,0.11813,0.35178
AGO,2020,Less than primary,15-24,male,0.1212325,0.32524
AGO,2021,Less than primary,15-24,male,0.124335,0.2987
AGO,2022,Less than primary,15-24,male,0.124335,0.2987
AGO,2023,Less than primary,15-24,male,0.124335,0.2987
AGO,2024,Less than primary,15-24,male,0.124335,0.2987
AGO,2025,Less than primary,15-24,male,0.124335,0.2987
AGO,2015,Less than primary,25-54,female,0.045492,0.45848
AGO,2016,Less than primary,25-54,female,0.0426039999999999,0.3784099999999999
AGO,2017,Less than primary,25-54,female,0.039716,0.29834
AGO,2018,Less than primary,25-54,female,0.036828,0.2182699999999999
AGO,2019,Less than primary,25-54,female,0.03394,0.1382
AGO,2020,Less than primary,25-54,female,0.03069,0.114725
AGO,2021,Less than primary,25-54,female,0.02744,0.09125
AGO,2022,Less than primary,25-54,female,0.02744,0.09125
AGO,2023,Less than primary,25-54,female,0.02744,0.09125
AGO,2024,Less than primary,25-54,female,0.02744,0.09125
AGO,2025,Less than primary,25-54,female,0.02744,0.09125
AGO,2015,Less than primary,25-54,male,0.060576,0.325862
AGO,2016,Less than primary,25-54,male,0.0564519999999999,0.271884
AGO,2017,Less than primary,25-54,male,0.052328,0.217906
AGO,2018,Less than primary,25-54,male,0.048204,0.163928
AGO,2019,Less than primary,25-54,male,0.04408,0.1099499999999999
