ccode,year,education_level,age_group,gender,unemployment_rate,inactivity_rate
CIV,2015,Less than primary,15-24,female,0.0225166666666666,0.4082833333333333
CIV,2016,Less than primary,15-24,female,0.01074,0.45494
CIV,2017,Less than primary,15-24,female,0.03362,0.62255
CIV,2018,Less than primary,15-24,female,0.03285,0.5476300000000001
CIV,2019,Less than primary,15-24,female,0.03208,0.47271
CIV,2020,Less than primary,15-24,female,0.0277766666666666,0.4727033333333333
CIV,2021,Less than primary,15-24,female,0.0234733333333333,0.4726966666666666
CIV,2022,Less than primary,15-24,female,0.01917,0.47269
CIV,2023,Less than primary,15-24,female,0.01917,0.47269
CIV,2024,Less than primary,15-24,female,0.01917,0.47269
CIV,2025,Less than primary,15-24,female,0.01917,0.47269
CIV,2015,Less than primary,15-24,male,0.02309,0.2194233333333333
CIV,2016,Less than primary,15-24,male,0.017075,0.22674
CIV,2017,Less than primary,15-24,male,0.01106,0.41922
CIV,2018,Less than primary,15-24,male,0.0157525,0.34391
CIV,2019,Less than primary,15-24,male,0.0204449999999999,0.2686
CIV,2020,Less than primary,15-24,male,0.02044,0.3019066666666666
CIV,2021,Less than primary,15-24,male,0.020435,0.3352133333333333
CIV,2022,Less than primary,15-24,male,0.02043,0.3685199999999999
CIV,2023,Less than primary,15-24,male,0.02043,0.3685199999999999
CIV,2024,Less than primary,15-24,male,0.02043,0.3685199999999999
CIV,2025,Less than primary,15-24,male,0.02043,0.3685199999999999
CIV,2015,Lower secondary,15-24,female,0.17463,0.8200566666666668
CIV,2016,Lower secondary,15-24,female,0.18126,0.8346800000000001
CIV,2017,Lower secondary,15-24,female,0.16153,0.8349833333333334
CIV,2018,Lower secondary,15-24,female,0.1418,0.8352866666666666
CIV,2019,Lower secondary,15-24,female,0.12207,0.8355899999999999
CIV,2020,Lower secondary,15-24,female,0.10234,0.81226
CIV,2021,Lower secondary,15-24,female,0.08261,0.78893
CIV,2022,Lower secondary,15-24,female,0.06288,0.7656000000000001
CIV,2023,Lower secondary,15-24,female,0.06288,0.7656000000000001
CIV,2024,Lower secondary,15-24,female,0.06288,0.7656000000000001
CIV,2025,Lower secondary,15-24,female,0.06288,0.7656000000000001
CIV,2015,Lower secondary,15-24,male,0.0574833333333333,0.6895466666666666
CIV,2016,Lower secondary,15-24,male,0.04484,0.6994
CIV,2017,Lower secondary,15-24,male,0.0452266666666666,0.7182933333333333
CIV,2018,Lower secondary,15-24,male,0.0456133333333333,0.7371866666666668
CIV,2019,Lower secondary,15-24,male,0.046,0.7560800000000001
CIV,2020,Lower secondary,15-24,male,0.04786,0.7230266666666667
CIV,2021,Lower secondary,15-24,male,0.04972,0.6899733333333333
CIV,2022,Lower secondary,15-24,male,0.05158,0.65692
CIV,2023,Lower secondary,15-24,male,0.05158,0.65692
CIV,2024,Lower secondary,15-24,male,0.05158,0.65692
CIV,2025,Lower secondary,15-24,male,0.05158,0.65692
CIV,2015,Primary,15-24,female,0.06036,0.6509866666666667
CIV,2016,Primary,15-24,female,0.0438699999999999,0.66937
CIV,2017,Primary,15-24,female,0.0555233333333333,0.68838
CIV,2018,Primary,15-24,female,0.0671766666666666,0.7073900000000001
CIV,2019,Primary,15-24,female,0.07883,0.7264
CIV,2020,Primary,15-24,female,0.0629033333333333,0.73929
CIV,2021,Primary,15-24,female,0.0469766666666666,0.7521800000000001
CIV,2022,Primary,15-24,female,0.03105,0.76507
CIV,2023,Primary,15-24,female,0.03105,0.76507
CIV,2024,Primary,15-24,female,0.03105,0.76507
CIV,2025,Primary,15-24,female,0.03105,0.76507
CIV,2015,Primary,15-24,male,0.0221466666666666,0.5775533333333333
CIV,2016,Primary,15-24,male,0.00881,0.5613199999999999
CIV,2017,Primary,15-24,male,0.01635,0.5907666666666666
CIV,2018,Primary,15-24,male,0.02389,0.6202133333333333
CIV,2019,Primary,15-24,male,0.03143,0.6496599999999999
CIV,2020,Primary,15-24,male,0.0267899999999999,0.6613733333333333
CIV,2021,Primary,15-24,male,0.02215,0.6730866666666667
